## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,9.153296,2.004476,23
## Dist,x, P(X=x), P(X<=x)
Dist,11.000000,0.000003,0.999999
Dist,12.000000,0.000001,1.000000
Dist,13.000000,0.000000,1.000000
Dist,14.000000,0.000000,1.000000
Dist,15.000000,0.000000,1.000000
Dist,16.000000,0.000000,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000
Dist,19.000000,0.000000,1.000000
Dist,20.000000,0.000000,1.000000
Dist,21.000000,0.000000,1.000000
Dist,22.000000,0.000000,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,12.000000,12.000000,Results,5.647861,2.387758,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.010305,0.010305
Dist,1.000000,0.018794,0.029099
Dist,2.000000,0.030714,0.059813
Dist,3.000000,0.047744,0.107557
Dist,4.000000,0.072946,0.180502
Dist,5.000000,0.121198,0.301701
Dist,6.000000,0.361462,0.663163
Dist,7.000000,0.336837,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,12.000000,12.000000,Results,13.581623,5.902407,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.000344,0.000344
Dist,1.000000,0.000342,0.000686
Dist,2.000000,0.000456,0.001142
Dist,3.000000,0.000686,0.001829
Dist,4.000000,0.001133,0.002961
Dist,5.000000,0.001999,0.004961
Dist,6.000000,0.003723,0.008684
Dist,7.000000,0.007234,0.015918
Dist,8.000000,0.014289,0.030207
Dist,9.000000,0.027339,0.057546
Dist,10.000000,0.048227,0.105773
Dist,11.000000,0.076281,0.182055
Dist,12.000000,0.108130,0.290185
Dist,13.000000,0.140633,0.430818
Dist,14.000000,0.175149,0.605967
Dist,15.000000,0.191736,0.797703
Dist,16.000000,0.124232,0.921935
Dist,17.000000,0.050047,0.971982
Dist,18.000000,0.018946,0.990928
Dist,19.000000,0.006503,0.997430
Dist,20.000000,0.001978,0.999408
Dist,21.000000,0.000506,0.999914
Dist,22.000000,0.000086,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,24.000000,24.000000,Results,1.413822,4.162849,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.458031,0.458031
Dist,1.000000,0.206821,0.664851
Dist,2.000000,0.132931,0.797782
Dist,3.000000,0.080391,0.878173
Dist,4.000000,0.047464,0.925637
Dist,5.000000,0.027931,0.953568
Dist,6.000000,0.016579,0.970147
Dist,7.000000,0.010078,0.980225
Dist,8.000000,0.006359,0.986584
Dist,9.000000,0.004175,0.990758
Dist,10.000000,0.002832,0.993590
Dist,11.000000,0.001963,0.995553
Dist,12.000000,0.001373,0.996926
Dist,13.000000,0.000973,0.997899
Dist,14.000000,0.000688,0.998587
Dist,15.000000,0.000485,0.999072
Dist,16.000000,0.000340,0.999412
Dist,17.000000,0.000240,0.999652
Dist,18.000000,0.000179,0.999831
Dist,19.000000,0.000096,0.999928
Dist,20.000000,0.000048,0.999976
Dist,21.000000,0.000019,0.999995
Dist,22.000000,0.000005,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,24.000000,24.000000,Results,1.603958,1.872154,23
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.217073,0.217073
Dist,1.000000,0.335240,0.552313
Dist,2.000000,0.219125,0.771438
Dist,3.000000,0.127444,0.898882
Dist,4.000000,0.078314,0.977196
Dist,5.000000,0.011487,0.988682
Dist,6.000000,0.005993,0.994675
Dist,7.000000,0.002911,0.997586
Dist,8.000000,0.001355,0.998940
Dist,9.000000,0.000610,0.999551
Dist,10.000000,0.000266,0.999817
Dist,11.000000,0.000112,0.999929
Dist,12.000000,0.000045,0.999974
Dist,13.000000,0.000017,0.999991
Dist,14.000000,0.000006,0.999997
Dist,15.000000,0.000002,0.999999
Dist,16.000000,0.000001,1.000000
Dist,17.000000,0.000000,1.000000
Dist,18.000000,0.000000,1.000000
Dist,19.000000,0.000000,1.000000
Dist,20.000000,0.000000,1.000000
