## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,1.000000,1.000000,Results,9.095354,1.699342,6
## Dist,x, P(X=x), P(X<=x)
Dist,9.000000,0.065009,0.947087
Dist,10.000000,0.033057,0.980143
Dist,11.000000,0.014955,0.995099
Dist,12.000000,0.004901,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,96.000000,96.000000,Results,6.884933,0.750592,6
## Dist,x, P(X=x), P(X<=x)
Dist,6.000000,0.364085,0.364085
Dist,7.000000,0.447827,0.811911
Dist,8.000000,0.139840,0.951752
Dist,9.000000,0.037323,0.989075
Dist,10.000000,0.009170,0.998245
Dist,11.000000,0.001755,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,96.000000,96.000000,Results,3.603578,0.801689,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.004953,0.004953
Dist,1.000000,0.021903,0.026856
Dist,2.000000,0.081430,0.108286
Dist,3.000000,0.252394,0.360681
Dist,4.000000,0.534966,0.895647
Dist,5.000000,0.104353,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,96.000000,96.000000,Results,4.831424,2.194348,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.009602,0.009602
Dist,1.000000,0.024236,0.033838
Dist,2.000000,0.049122,0.082960
Dist,3.000000,0.092298,0.175258
Dist,4.000000,0.164081,0.339339
Dist,5.000000,0.261816,0.601155
Dist,6.000000,0.325270,0.926425
Dist,7.000000,0.073575,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,96.000000,96.000000,Results,6.677901,2.107176,8
## Dist,x, P(X=x), P(X<=x)
Dist,5.000000,0.207533,0.207533
Dist,6.000000,0.340967,0.548500
Dist,7.000000,0.213171,0.761671
Dist,8.000000,0.120400,0.882072
Dist,9.000000,0.065011,0.947083
Dist,10.000000,0.033059,0.980142
Dist,11.000000,0.014957,0.995098
Dist,12.000000,0.004902,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,192.000000,192.000000,Results,6.884933,0.750592,6
## Dist,x, P(X=x), P(X<=x)
Dist,6.000000,0.364085,0.364085
Dist,7.000000,0.447827,0.811911
Dist,8.000000,0.139840,0.951752
Dist,9.000000,0.037323,0.989075
Dist,10.000000,0.009170,0.998245
Dist,11.000000,0.001755,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,192.000000,192.000000,Results,3.603578,0.801689,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.004953,0.004953
Dist,1.000000,0.021903,0.026856
Dist,2.000000,0.081430,0.108286
Dist,3.000000,0.252394,0.360681
Dist,4.000000,0.534966,0.895647
Dist,5.000000,0.104353,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,192.000000,192.000000,Results,4.831424,2.194348,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.009602,0.009602
Dist,1.000000,0.024236,0.033838
Dist,2.000000,0.049122,0.082960
Dist,3.000000,0.092298,0.175258
Dist,4.000000,0.164081,0.339339
Dist,5.000000,0.261816,0.601155
Dist,6.000000,0.325270,0.926425
Dist,7.000000,0.073575,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,3,TrainToViareggio,192.000000,192.000000,Results,6.677901,2.107176,8
## Dist,x, P(X=x), P(X<=x)
Dist,5.000000,0.207533,0.207533
Dist,6.000000,0.340967,0.548500
Dist,7.000000,0.213171,0.761671
Dist,8.000000,0.120400,0.882072
Dist,9.000000,0.065011,0.947083
Dist,10.000000,0.033059,0.980142
Dist,11.000000,0.014957,0.995098
Dist,12.000000,0.004902,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,0,TrainToFlorence,384.000000,384.000000,Results,6.884933,0.750592,6
## Dist,x, P(X=x), P(X<=x)
Dist,6.000000,0.364085,0.364085
Dist,7.000000,0.447827,0.811911
Dist,8.000000,0.139840,0.951752
Dist,9.000000,0.037323,0.989075
Dist,10.000000,0.009170,0.998245
Dist,11.000000,0.001755,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,1,TrainToPistoia,384.000000,384.000000,Results,3.603578,0.801689,6
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.004953,0.004953
Dist,1.000000,0.021903,0.026856
Dist,2.000000,0.081430,0.108286
Dist,3.000000,0.252394,0.360681
Dist,4.000000,0.534966,0.895647
Dist,5.000000,0.104353,1.000000

## Exp Num, PV Num, PV Name, Start Time, Stop Time, Type, Mean, Variance,NumDistPts
0,2,TrainToLucca,384.000000,384.000000,Results,4.831424,2.194348,8
## Dist,x, P(X=x), P(X<=x)
Dist,0.000000,0.009602,0.009602
